base,1,2,3,4,5,6,7,8,9,10
vicente-huidobro-el-celebre-oceano,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-monumento-al-mar,alfonsina-storni-razones-y-paisajes-de-amor,alfonsina-storni-baja-del-cielo-la-endiablada-punta,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-aqui-estamos,vicente-huidobro-invierno-para-beberlo,alfonsina-storni-esta-tarde,alfonsina-storni-el-sueno,alfonso-reyes-morir
alejandra-pizarnik-solamente-en-las-noches,alejandra-pizarnik-escribiendo,alejandra-pizarnik-peregrinaje,alejandra-pizarnik-llame-llame-como-la-naufraga-dichosa,cesar-vallejo-entre-el-dolor-y-el-placer-median-tres-criaturas,alejandra-pizarnik-el-despertar,alejandra-pizarnik-senor,jaime-sabines-pasa-el-lunes,mario-benedetti-a-la-izquierda-del-roble,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,vicente-huidobro-el-paso-del-retorno
alfonso-reyes-caravana,alfonso-reyes-hoy-tuvimos-noticia-del-poeta,alfonso-reyes-no-aqui-la-tierra-triunfa-y-manda,alfonso-reyes-veracruz,alfonso-reyes-los-caballos,alfonsina-storni-sabado,alfonso-reyes-en-vano-ensayariamos-una-voz-que-les-recuerde-algo-a-los-hombres,alfonso-reyes-el-descastado,alfonso-reyes-no-es-cuba-donde-el-mar-disuelve-el-alma,alfonso-reyes-la-habana,jaime-sabines-tlaltelolco-68
alejandra-pizarnik-sous-la-nuit,alejandra-pizarnik-los-ausentes-soplan-grismente-y-la-noche-es-densa,vicente-huidobro-fatiga,alejandra-pizarnik-lobscurite-des-eaux,alejandra-pizarnik-escucho-resonar-el-agua-que-cae-en-mi-sueno,alfonsina-storni-fiero-amor,alfonsina-storni-oh-fiero-amor-llegaste-como-la-mariposa,cesar-vallejo-la-copa-negra,alfonsina-storni-subconciencia,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,alejandra-pizarnik-tal-vez-esta-noche-no-es-noche
cesar-vallejo-sauce,alfonsina-storni-baja-del-cielo-la-endiablada-punta,alfonsina-storni-razones-y-paisajes-de-amor,cesar-vallejo-mayo,cesar-vallejo-himno-a-los-voluntarios-de-la-republica,alfonsina-storni-el-sueno,vicente-huidobro-aqui-estamos,cesar-vallejo-yeso,alfonso-reyes-morir,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,vicente-huidobro-monumento-al-mar
alfonsina-storni-versos-otonales,alfonsina-storni-al-mirar-mis-mejillas-que-ayer-estaban-rojas,alfonsina-storni-el-sueno,alfonsina-storni-esta-tarde,alfonsina-storni-oh-fiero-amor-llegaste-como-la-mariposa,alfonsina-storni-fiero-amor,alfonsina-storni-dulce-y-sombrio,alfonsina-storni-te-acuerdas,alfonsina-storni-oh-tu,vicente-huidobro-monumento-al-mar,alfonsina-storni-camino-lentamente-por-la-senda-de-acacias
alejandra-pizarnik-sombras-de-los-dias-a-venir,alejandra-pizarnik-manana,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,alejandra-pizarnik-el-despertar,alejandra-pizarnik-senor,jaime-sabines-te-quiero-porque-tienes,cesar-vallejo-yeso,jaime-sabines-miss-x,mario-benedetti-a-la-izquierda-del-roble,alejandra-pizarnik-mucho-mas-alla,alejandra-pizarnik--y-si-nos-vamos-anticipando
alejandra-pizarnik-12,alejandra-pizarnik-no-mas-las-dulces-metamorfosis-de-una-nina-de-seda,vicente-huidobro-aqui-estamos,vicente-huidobro-18,alfonsina-storni-lo-inacabable,cesar-vallejo-mayo,alfonsina-storni-baja-del-cielo-la-endiablada-punta,alfonsina-storni-razones-y-paisajes-de-amor,alejandra-pizarnik-a-la-espera-de-la-oscuridad,alejandra-pizarnik-ese-instante-que-no-se-olvida,vicente-huidobro-estrella-hija-de-estrella
tirso-de-molina-versos-de-novela-cortesana,tirso-de-molina-oh-premio-rico-que-a-perder-provoca,tirso-de-molina-todo-es-temor-amor-todo-es-recelos,tirso-de-molina-que-confusion-enmaranados-cielos,alfonso-reyes-morir,alfonso-reyes-la-tonada-de-la-sierva-enemiga,tirso-de-molina-movido-de-mis-ruegos-febo-el-paso,jaime-sabines-pequena-del-amor,tirso-de-molina-un-ano-cielos-ha-que-amor-me-obliga,tirso-de-molina-el-tardo-buey-atado-a-la-coyunda,catulo-pajarito-delicias-de-mi-nina
alejandra-pizarnik-tu-voz,alejandra-pizarnik-emboscado-en-mi-escritura,cesar-vallejo-yeso,jaime-sabines-te-quiero-porque-tienes,alejandra-pizarnik-y-fue-entonces,alejandra-pizarnik-poema-para-el-padre,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-balada-de-lo-que-no-vuelve,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,alejandra-pizarnik-ese-instante-que-no-se-olvida,alejandra-pizarnik-a-la-espera-de-la-oscuridad
