,base,1,2,3,4,5,6,7,8,9,10
63,mario-benedetti-buenos-dias-gabriel,vicente-huidobro-viajero,vicente-huidobro-aqui-estamos,vicente-huidobro-senora,mario-benedetti-un-padre-nuestro-latinoamericano,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,mario-benedetti-a-la-izquierda-del-roble,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-el-paso-del-retorno,mario-benedetti-a-tientas,vicente-huidobro-ilusiones-perdidas
64,tirso-de-molina-coplas,tirso-de-molina-no-en-balde-nino-amor-te-pintan-ciego,tirso-de-molina-versos-de-novela-cortesana,tirso-de-molina-que-confusion-enmaranados-cielos,tirso-de-molina-movido-de-mis-ruegos-febo-el-paso,jaime-sabines-asi-es,tirso-de-molina-un-ano-cielos-ha-que-amor-me-obliga,mario-benedetti-a-la-izquierda-del-roble,jaime-sabines-los-dias-inutiles,mario-benedetti-un-padre-nuestro-latinoamericano,jaime-sabines-pasa-el-lunes
65,mario-benedetti-ustedes-cuando-aman,mario-benedetti-ustedes-y-nosotros,mario-benedetti-a-la-izquierda-del-roble,mario-benedetti-un-padre-nuestro-latinoamericano,mario-benedetti-te-quiero,mario-benedetti-tus-manos-son-mi-caricia,jaime-sabines-pasa-el-lunes,mario-benedetti-tactica-y-estrategia,jaime-sabines-los-dias-inutiles,mario-benedetti-a-tientas,vicente-huidobro-senora
66,tirso-de-molina-del-castizo-caballo-descuidado,tirso-de-molina-versos-de-novela-cortesana,tirso-de-molina-quiere-hacer-un-tapiz-la-industria-humana,tirso-de-molina-sale-el-sol-por-el-cielo-luminoso,tirso-de-molina-movido-de-mis-ruegos-febo-el-paso,tirso-de-molina-falsa-amistad-ladron-disimulado,tirso-de-molina-oh-premio-rico-que-a-perder-provoca,tirso-de-molina-no-en-balde-nino-amor-te-pintan-ciego,vicente-huidobro-el-celebre-oceano,tirso-de-molina-que-confusion-enmaranados-cielos,jaime-sabines-pequena-del-amor
67,mario-benedetti-viceversa,mario-benedetti-tactica-y-estrategia,mario-benedetti-a-la-izquierda-del-roble,mario-benedetti-hagamos-un-trato,mario-benedetti-un-padre-nuestro-latinoamericano,mario-benedetti-ahora-todo-esta-claro,jaime-sabines-pasa-el-lunes,vicente-huidobro-la-poesia-es-un-atentado-celeste,tirso-de-molina-coplas,mario-benedetti-corazon-coraza,mario-benedetti-porque-te-tengo-y-no
68,vicente-huidobro-alla-me-esperan-hasta-manana,mario-benedetti-a-la-izquierda-del-roble,vicente-huidobro-expres,mario-benedetti-un-padre-nuestro-latinoamericano,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-senora,vicente-huidobro-balada-de-lo-que-no-vuelve,mario-benedetti-a-tientas,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-18,jaime-sabines-la-cojita-esta-embarazada
69,vicente-huidobro-expres,vicente-huidobro-senora,vicente-huidobro-poema-funerario,vicente-huidobro-invierno-para-beberlo,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-monumento-al-mar,vicente-huidobro-el-paso-del-retorno,mario-benedetti-un-padre-nuestro-latinoamericano,mario-benedetti-a-la-izquierda-del-roble,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte
70,mario-benedetti-nostalgia,mario-benedetti-a-la-izquierda-del-roble,mario-benedetti-un-padre-nuestro-latinoamericano,vicente-huidobro-expres,vicente-huidobro-estrella-hija-de-estrella,mario-benedetti-a-tientas,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-ilusiones-perdidas,vicente-huidobro-senora,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-invierno-para-beberlo
71,mario-benedetti-te-quiero,mario-benedetti-tus-manos-son-mi-caricia,mario-benedetti-corazon-coraza,mario-benedetti-porque-te-tengo-y-no,mario-benedetti-a-la-izquierda-del-roble,mario-benedetti-un-padre-nuestro-latinoamericano,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-estrella-hija-de-estrella,jaime-sabines-pasa-el-lunes,jaime-sabines-te-quiero-porque-tienes
72,vicente-huidobro-fatiga,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-invierno-para-beberlo,vicente-huidobro-18,jaime-sabines-miss-x,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-monumento-al-mar,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,vicente-huidobro-poema-funerario,vicente-huidobro-el-celebre-oceano
